,Imp_B365H,Imp_B365D,Imp_B365A,Imp_BbAvH,Imp_BbAvD,Imp_BbAvA,Imp_PSCH,Imp_PSCD,Imp_PSCA,BbOU,BbAHh,BbAv_gt_2_5,BbAv_lt_2_5,HomeTeam_enc,AwayTeam_enc,Div_enc,Home_Wins_Last5,Home_Draws_Last5,Home_Losses_Last5,Away_Wins_Last5,Away_Draws_Last5,Away_Losses_Last5,Draws_Diff_Last5,Wins_Diff_Last5,Losses_Diff_Last5,FTR,FTR_enc,HomeTeam,AwayTeam,Date
18328,0.5464480874316939,0.2857142857142857,0.23094688221709006,0.5319148936170213,0.2949852507374631,0.23584905660377356,0.4854368932038835,0.2898550724637681,0.24509803921568626,33.0,-0.5,2.08,1.74,134,81,0,2.0,0.0,3.0,1.0,4.0,0.0,-4.0,1.0,3.0,H,2,Mainz,Fortuna Dusseldorf,2012-10-06
18329,0.7142857142857143,0.2222222222222222,0.125,0.6993006993006994,0.2298850574712644,0.1347708894878706,0.7042253521126761,0.18832391713747648,0.12658227848101264,24.0,-1.5,1.58,2.31,190,237,0,3.0,1.0,1.0,0.0,2.0,3.0,-1.0,3.0,-2.0,H,2,Schalke 04,Wolfsburg,2012-10-06
18330,0.2,0.26666666666666666,0.5988023952095809,0.2040816326530612,0.2631578947368421,0.5952380952380952,0.1923076923076923,0.22675736961451246,0.6024096385542169,24.0,1.0,1.54,2.42,95,66,0,3.0,0.0,2.0,2.0,2.0,1.0,-2.0,1.0,1.0,D,1,Hannover,Dortmund,2012-10-07
18331,0.4444444444444444,0.2857142857142857,0.3333333333333333,0.4329004329004329,0.29325513196480935,0.33444816053511706,0.4,0.27932960893854747,0.33783783783783783,30.0,0.0,1.62,2.26,133,71,0,0.0,3.0,2.0,4.0,1.0,0.0,2.0,-4.0,2.0,H,2,M'gladbach,Ein Frankfurt,2012-10-07
18332,0.4166666666666667,0.2857142857142857,0.36363636363636365,0.4,0.29673590504451036,0.3676470588235294,0.33444816053511706,0.2724795640326976,0.41493775933609955,24.0,0.0,1.6,2.27,206,124,0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,-2.0,1.0,D,1,Stuttgart,Leverkusen,2012-10-07
18333,0.5464480874316939,0.2777777777777778,0.23809523809523808,0.5405405405405405,0.28653295128939826,0.22831050228310504,0.5494505494505494,0.2645502645502646,0.20576131687242796,31.0,-0.75,2.0,1.82,100,91,0,2.0,1.0,2.0,0.0,1.0,4.0,0.0,2.0,-2.0,D,1,Hoffenheim,Greuther Furth,2012-10-19
18334,0.6172839506172839,0.25,0.2,0.5952380952380952,0.26246719160104987,0.20202020202020202,0.5128205128205129,0.2631578947368421,0.24449877750611249,22.0,-0.75,1.58,2.31,66,190,0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,-1.0,0.0,A,0,Dortmund,Schalke 04,2012-10-20
18335,0.47619047619047616,0.2857142857142857,0.30303030303030304,0.4629629629629629,0.29069767441860467,0.30864197530864196,0.45248868778280543,0.27027027027027023,0.2976190476190476,22.0,-0.25,1.56,2.34,71,95,0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,-1.0,H,2,Ein Frankfurt,Hannover,2012-10-20
18336,0.09090909090909091,0.2,0.7751937984496123,0.09813542688910697,0.1996007984031936,0.7633587786259541,0.08695652173913043,0.1663893510815308,0.7692307692307692,30.0,1.5,1.69,2.17,81,21,0,1.0,3.0,1.0,5.0,0.0,0.0,3.0,-4.0,1.0,A,0,Fortuna Dusseldorf,Bayern Munich,2012-10-20
18337,0.5988023952095809,0.2631578947368421,0.2,0.6024096385542169,0.2645502645502646,0.19193857965451055,0.6097560975609756,0.24096385542168672,0.16977928692699493,31.0,-0.75,1.75,2.09,124,134,0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,-1.0,-1.0,D,1,Leverkusen,Mainz,2012-10-20
